Lexington Community Farm Coalition,2015 Community Endowment of Lexington Grant Program,Ecological Well-being,0,10000
The Edinburg Center,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000
Lexington Arts and Crafts Society,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,6373
Lexington Symphony,2015 Community Endowment of Lexington Grant Program,Arts & Culture,5000,10000
Lexington Friends of the Arts,2015 Community Endowment of Lexington Grant Program,Arts & Culture,0,5000
Supportive Living Inc.,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,5000
Domestic Violence Services Network,2015 Community Endowment of Lexington Grant Program,Health & Human Services,7000,10000
Lexington Tourism Committee,2015 Community Endowment of Lexington Grant Program,Arts & Culture,5000,10000
"Cooperative for Human Services, Inc.",2015 Community Endowment of Lexington Grant Program,Community Building,0,10000
"Toward Independent Living and Learning, Inc.",2015 Community Endowment of Lexington Grant Program,Community Building,0,4515
"Special Needs Arts Programs, Inc",2015 Community Endowment of Lexington Grant Program,Arts & Culture,6000,10000
English at Large,2015 Community Endowment of Lexington Grant Program,Community Building,0,7500
Communities for Restorative Justice,2015 Community Endowment of Lexington Grant Program,Community Building,7000,10000
Greater Boston PFLAG,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,5000
F.U.S.E. Preschool,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000
Town of Lexington,2016 Community Endowment of Lexington Grant Program,Community Building,0,10000
Cotting School,2016 Community Endowment of Lexington Grant Program,Arts & Culture,0,2000
"Advocates, Inc.",2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,2028
In Control Family Foundation,2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000
Lexington Global Warming Action Coalition,2016 Community Endowment of Lexington Grant Program,Environment,7500,7500
Lexington Council for the Arts,2016 Community Endowment of Lexington Grant Program,Arts & Culture,0,5000
Lexington Recreation and Community Programs Department,2016 Community Endowment of Lexington Grant Program,Community Building,0,5000
"Special Needs Arts Programs, Inc",2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000
Lexington Fire Department,2016 Community Endowment of Lexington Grant Program,Environment,0,2500
Communities for Restorative Justice,2016 Community Endowment of Lexington Grant Program,Community Building,0,10000
"Town of Lexington, Office of Public Health",2016 Community Endowment of Lexington Grant Program,Health & Human Services,7500,7500
Domestic Violence Services Network,2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000
Lex Eat Together,2016 Community Endowment of Lexington Grant Program,Health & Human Services,3600,10000
Lexington Community Farm Coalition,2016 Community Endowment of Lexington Grant Program,Environment,10000,10000
"Lexington's Five and Under Network PTA, Inc.",2016 Community Endowment of Lexington Grant Program,Health & Human Services,0,3400
Lovelane Special Needs Horseback Riding Program,2017 Community Endowment of Lexington,Health & Human Services,0,5000
