Organization Name,Process Name,Focus area of request,Amount Awarded,Amount requested,Proposal  Summary,,,,,
Lexington Community Farm Coalition,2015 Community Endowment of Lexington Grant Program,Ecological Well-being,0,10000,"LexFarm is poised to emerge from the initial start-up phase to develop a more robust and sustainable organizational structure. Board members have each served highly active roles and will now hand over operational activities to staff members. Through board retraining and development, we will define committee roles, agree on the types of expertise to be sought from paid staff or volunteers, set priorities, and outline decision-making procedures.

We will design a data snapshot system summarizing progress in finances, farm production, and community engagement, with costs and funding sources allocated to each aspect of the farm and the organization. Such a “dashboard” can also be used to engage the broader community, including future donors.

Finally, LexFarm requires a detailed business plan to guide decision making and resource allocation.

The budget of $10,000 includes funds to compensate Lori Rutter of Adviza Consulting. Ms. Rutter has 20 years' experience consulting with 100 non-profit organizations, including community farms; a strong background in management team development, strategic and business planning, and board governance.

PROPOSED WORK

A. DEVELOP AN ORGANIZATIONAL STRUCTURE ($4,000, 2 months)

A1. Electronic survey of all board members
A2. Interviews with selected past, present, and future board members
A3. Provide board training and review board skills matrix
A4. Delineate board and staff roles and responsibilities
A5. Structure board and committee relationships
A6. Develop board goals and accountabilities

B.  ANALYTICS DASHBOARD ($4,000, 4 months)

B1. Define metrics and business analytics to track funding sources and allocation
B2. Define metrics to track progress towards milestones (farm, staff hiring, education,
        community engagement, fundraising)
B3. Create the dashboard and reporting system

C.  BUSINESS PLAN ($2,000, 6 months), to be developed internally under Ms. Rutter's guidance",,,,,
The Edinburg Center,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,10000,"The Edinburg Center is requesting funds for two Smart Boards for our Psychiatric Day Treatment Program -  Opportunities, which is located at our main site at 1040 Waltham Street in Lexington. 

This proposal also includes a request for a Parker Bath for one of The Center's  Developmental Disabilities Programs located on Walnut Street in Lexington. ",,,,,
Lexington Arts and Crafts Society,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,6373,"Bringing order into our lives can liberate our creativity and allow us to work productively. Focusing on the large community of artists and crafters in Lexington, the Lexington Arts and Crafts Society (LACS) will offer a series of modular workshops on organizing for the artist or craftsperson.  These modules (several classes/module) will be free to participants. In Module One (2 sessions, max 12 students), student will identify their personal learning and working styles to optimize their ability to learn new skills and maintain new behaviors and be introduced to the processes used to organize and declutter. In Module Two (4 sessions, max 10 students), organizing a craft or artisan studio, decluttering and the decision-making processes, and how to organize and manage paperwork, important files and documents will be taught, because many creative people are 'blocked' by their lack of organization.  Module Three (3 sessions, max 16 students) will focus  on communication skills for families and will teach a family member how to handle a hoarder and how to handle the downsizing and move of a senior family member by learning how to identify issues and communicate without damaging or straining the relationship with the affected family member. Each module includes learning new skills and feedback about using these skills. Participants will be supplied with lists of resources, including recycling and donation information, organizing tools and supplies, and reading matter.  LACS is requesting funding to cover the cost of the instructors, class supplies, overhead, and administrative and publicity costs.",,,,,
Lexington Symphony,2015 Community Endowment of Lexington Grant Program,Arts & Culture,5000,10000,"Lexington Symphony (LS), now in its 20th year, is the only established musical organization in Lexington with fully professional (paid) players, and has become one of the only professional orchestras outside Boston that is so actively supported by the community. Its Music Director, Jonathan McPhee, has conducted notable symphony orchestras and ballet companies throughout the world and is also the Music Director of the Boston Ballet. Lexington Symphony’s most recent collaborative project, “Music from the Movies” (MovieMusic), debuted on February 14, 2015 with three components:
• Free performance of Prokofiev’s Peter and the Wolf for children and families
• Panel discussion/brainstorming session with members of the business community about how to expand MovieMusic to bring additional business to Lexington Center
• Full-length concert featuring music from classic movies, with special guests LHS graduate and film composer Brady Hearn and 12-year-old Lexington resident Hana Chang, violin soloist 

The orchestra would like to expand on this successful event and bring it to more townspeople, using WCRB’s annual Cartoon Festival at Symphony Hall as an instructive model. A committee of Chamber of Commerce members, including members of the banking, pharmaceutical and restaurant industries, has begun the planning stages. MovieMusic would include the following afternoon and evening activities:
• Musical workshop for families, engaging and educating children 
• Art projects
• Performances by LHS students and other local musical groups
• Full-length evening concert by Lexington Symphony featuring classic movie music

MovieMusic will take place at Cary Hall in May 2016 as part of the roster of offerings for the Tourism Committee’s Revolutionary Revelry. Objectives would be to broaden the demographic profile of Lexington Symphony’s audience and to celebrate art and culture in a way that creatively engages universal audiences. ",,,,,
Lexington Friends of the Arts,2015 Community Endowment of Lexington Grant Program,Arts & Culture,0,5000,"Munroe Saturday Nights requests funding to support two programming initiatives:  1)The capability to provide minimal support for the artists who present their creative talents at Munroe Saturday NIghts events to provide free performing arts for Lexington,  and 2) funding to provide continuing support for the presentation of arts programs that will reach under-served populations in Lexington.  Through the support of CEL, we hope to be able to build our audiences by developing collaborative arts programming with other civic organizations and with schools in our area. 

RE: item 1: we hope to offer an honorarium of $50 per performer for individuals who take part in our productions.  This minimal amount will underwrite transportation costs and provide a small amount of support to those who devote their time and talent to enriching the cultural life of Lexington.  RE: item 2:  During our current and past seasons we have presented Chinese and East Indian arts and cultural programs, slam poetry/performance art, an evening focused on relationship violence in partnership with other organizations, middle and high school aged youth performing their own production of Shakespeare, among others.  We continue to seek out plays, music, spoken word artists, dancers, and other art forms that will highlight the cultural diversity of Lexington and encourage those who do not traditionally have access to the arts to enjoy our presentations.  In the coming year we have identified an evening of Cuban arts and artists, Native American art cultures, and an evening exploring the intersection of dance and poetry and some of the elements we want to highlight, along with support to continue our work and partnerships with public and private high school students in Lexington and the surrounding communities.  While we have identified the general public as our target, we seek to also reach youth and senior citizens, as well as culturally diverse populations, with our programming.",,,,,
Supportive Living Inc.,2015 Community Endowment of Lexington Grant Program,Health & Human Services,0,5000,"The project which we are requesting support for is the physical fitness program currently being operated at our Brain Injury Wellness Center in Lexington.  Since our founding in 1991, Supportive Living has developed four award-winning residential communities for adults recovering from the life-altering consequences of brain injury.  Our largest facility is Douglas House in Lexington on Oakland Street.  In 2012 we opened the Brain Injury Wellness Center at Douglas House to provide physical, cognitive and social rehabilitation programs for survivors. 
The SLI Brain Injury Wellness Center at Douglas House provides physical fitness and exercise programs to address the needs and capabilities of each participant. Certified fitness trainers and intern assistants oversee the programs, which are tailored to each individual’s needs. Our experience has proven a safe and ongoing exercise program plays an important role in the rehabilitation process following a brain injury even years after injury.  Regular physical activity helps improve balance and coordination, reduces reliance on assistive devices, and enhances abilities to perform everyday activities.  Furthermore, following a brain injury, individuals who exercise are typically less depressed and report better quality of life than those who do not.  
Delivery of this program requires funding as the individuals we serve are all low income and do not have the means to pay for these important services.  We have been able to negotiate a reduction in the fees charged by the trainers and have expanded the volunteer effort of the interns to help reduce the overall cost.  The requested funds will be used to cover the cost associated with the specialized trainers that support this program.  ",,,,,
Domestic Violence Services Network,2015 Community Endowment of Lexington Grant Program,Health & Human Services,7000,10000,"DVSN and the Lexington Police will collaborate to provide four RESIST [Realistic Escape Strategies & Instinct-based Self-defense Training] self defense courses to girls at Lexington High School in the 2015-16 school year.  Each class will consist of two 3-hr. sessions and train 16 participants.  Based on our experience with students at Lincoln-Sudbury HS, we expect the program to be very successful and plan to expand in proceeding years.

Officers will be trained in order to properly staff the classes.  Instructor and coordinator time, student and instructor equipment, and general class supplies (video camera, medical supplies, etc.) will need to be purchased.  

A combination of the traditional self-defense models (like RAD and IMPACT) and police defense tactics training are used as a basis to teach self-defense tactics.  The purpose of the training is to equip the girls with 1) a basic understanding of violence against women, 2) how to improve every day personal safety, 3) learning to value and practice using their voices when attacked, 4) how to physically defend oneself against a violent attack, and 5) an understanding of their own instincts and reactions when under attack and how these can be harnessed.  This succinct, well-designed training provides women with practical, concrete actions they can use regardless of age, size or physical strength.  The purpose is not to stay and fight, but rather to reestablish safety as quickly as possible by creating an opportunity to escape and get help.  

At the end of the training an instructor dons a “Redman” suit (padding and helmet) engaging the students in a number of “attack” simulations in which they are able to put what they have learned into practice.  Simulations are filmed for students to gather and watch the video together collaborating with instructors and each other in assessing their performance.

They learn about dating safety, bystander intervention, resources, and possible next steps in case of an assault.",,,,,
Lexington Tourism Committee,2015 Community Endowment of Lexington Grant Program,Arts & Culture,5000,10000,"In 1999, the city of Antony, France, honored its sister city relationship with Lexington by dedicating the Place de Lexington, a landscaped traffic island on a main thoroughfare. In response, the Town of Lexington gave the Lexington Antony Sister Cities (a working group of the Lexington Tourism Committee) permission to create a park in honor of Antony on land within Tower Park. Antony Park was designed by Studio 2112 Landscape Architects to capture the spirit of a formal historical French garden that will be enjoyed by our community as a place to relax, gather, and host small events. This beautiful and unique park will involve the art of landscape design and horticulture with a focal artwork, be a celebration of our French cultural connection from the time of the American Revolution to today, and create a new space where we can come together as a community.

The plan for Antony Park received the approval of the Lexington Selectmen and the Historic Districts Commission in January, 2013. The project is being managed by the Lexington Department of Public Works with the Antony Working Group taking responsibility for raising the necessary funds. By hosting events, grantwriting and direct solicitation, $53,340 has been raised to date from individual Lexingtonians, students who have participated in the Antony exchange program, local foundations, and various groups in Town. These funds have been spent to cover the cost of design, grading of the site, and the planting of 14 columnar trees. In the spirit of a private-public partnership, Seasons Four has donated all the plant materials and provided the trees at cost.

Funding from the Community Foundation of Lexington would help us with the hardscape phase of the project which includes a grand staircase, the retaining seat wall and other stonework.",,,,,
"Cooperative for Human Services, Inc.",2015 Community Endowment of Lexington Grant Program,Community Building,0,10000,"Cooperative for Human Services, Inc. (CHS) provides residential, individual support and guardianship services to 300 adult men and women aged 22 to 87 years with intellectual and developmental disabilities in eastern MA communities.  Our main office is located in Lexington, MA where most of our services originate.   

One of CHS's group residences, located at 45 Forest Street in the historic section of Lexington is a Section 8 subsided home owned by the Lexington Housing Authority.  CHS has worked with the Lexington Housing Authority since the 1980's providing community based, residential support services to 8 men and women who live here and actively participate in the community life of Lexington.  

Due to aging, many of these men and women at Forest Street have developed medical and mobility issues in addition to their intellectual and developmental disabilities.  CHS would like to provide these individuals with an additional comfortable, accessible and safe haven for rest, relaxation and social visits.  We are asking for funds so we can renovate the existing 3 season porch at the Forest St. residence, making it into a year-round and 4 season room that is handicap accessible.  

Although the Forest Street residence is a large home, there is limited accessible space on the first floor where most social and recreational time is spent.  The first floor of this home currently has approximately 800 sq. feet of handicap accessible space, including a large kitchen and dining room and a moderate sized living room.  The 3 season porch is located directly off the current dining room/kitchen area.   

This is a very cost effective proposal.  We anticipate that this project will cost less than 1/3rd of the cost of constructing a first floor addition to the home.  It also would allow the current residents to have access to additional, accessible space for relaxation and visits, especially necessary for aging adults who want to 'age in place in their Lexington home.",,,,,
"Toward Independent Living and Learning, Inc.",2015 Community Endowment of Lexington Grant Program,Community Building,0,4515,"Toward Independent Living and Learning (TILL) created our Living Legacy Project to preserve and share the histories of families supported by TILL, documenting their past so as to shape not just our understanding of the person, but the future of human services through an innovative curriculum and training.  TILL’s Living Legacy Project was developed with the expertise and talents of Nicki Pombier-Berger, a writer and oral historian, to produce these life histories in video format with sensitivity and respect, with a focused curriculum and discussion guide.  TILL Living Legacy Project has been presented to Human Service Professionals of varying levels of experience and expertise, as a training tool for staff to better understand the richness of the experiences and lives of the individuals with whom they work and live and to catch a glimpse of their past.  
As a direct response to the impact this project has had on our staff members, individuals and families, we propose to offer the tools and training to our residential teams to recognize the value of preserving their stories and inspire them to create their own Living Legacy.
Utilizing funds from this community grant, we seek to offer this unique opportunity to those people who live in our three residential homes in Lexington through an individualized workshop training with a professional oral historian, basic equipment to record, preserve and produce oral histories, and follow up training and support from production through to their completion. 
The local impact of this project includes the individuals and families served and the staff who provide support, but also the larger community of TILL and the disability services community who will derive value from these life histories.  We welcome the opportunity to present the project concept, development and outcomes to Lexington community members as appropriate.",,,,,
